ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,simple,,,Chocolate Lava Cake,1,0,visible,Decadent molten chocolate cake.,A rich chocolate cake with a gooey molten center.,,,taxable,,1,,,0,0,,,,,1,,,7,Cake,,,,,,,,,,,,0,
208,simple,,,Espresso Shot,1,0,visible,Strong and intense espresso shot.,Perfect pick-me-up with rich crema and robust flavor.,,,taxable,,1,,,0,0,,,,,1,,,2,Coffee,,,,,,,,,,,,0,
209,simple,,,Cranberry Scone,1,0,visible,Delicious cranberry scone.,Tart cranberries baked into a buttery and crumbly scone.,,,taxable,,1,,,0,0,,,,,1,,,3,Bread,,,,,,,,,,,,0,
210,simple,,,Peanut Butter Cookie,1,0,visible,Soft peanut butter cookie.,Rich and creamy peanut butter flavor in every bite.,,,taxable,,1,,,0,0,,,,,1,,,2,Cookie,,,,,,,,,,,,0,
211,simple,,,Strawberry Pudding,1,0,visible,Sweet strawberry pudding.,A smooth and creamy pudding made with fresh strawberries.,,,taxable,,1,,,0,0,,,,,1,,,4,Pudding,,,,,,,,,,,,0,
212,simple,,,Tuna Melt Sandwich,1,0,visible,Tuna melt sandwich with melted cheese.,A savory combination of tuna salad and melted cheese on bread.,,,taxable,,1,,,0,0,,,,,1,,,6,Sandwiches,,,,,,,,,,,,0,
